table,rows_loaded,status,timestamp
companies,92,SUCCESS,2026-07-15 16:20:02.293748
analysis,20,SUCCESS,2026-07-15 16:20:02.302415
balancesheet,1312,SUCCESS,2026-07-15 16:20:02.315020
cashflow,1187,SUCCESS,2026-07-15 16:20:02.327019
documents,1585,SUCCESS,2026-07-15 16:20:02.339574
financial_ratios,1184,SUCCESS,2026-07-15 16:20:02.353398
market_cap,552,SUCCESS,2026-07-15 16:20:02.364540
peer_groups,56,SUCCESS,2026-07-15 16:20:02.371931
profitandloss,1276,SUCCESS,2026-07-15 16:20:02.387681
prosandcons,16,SUCCESS,2026-07-15 16:20:02.396075
sectors,92,SUCCESS,2026-07-15 16:20:02.402137
stock_prices,5520,SUCCESS,2026-07-15 16:20:02.432431
